HEAP PRIORITY QUEUE DATA

Length,Mean,Std Dev
200,0.080356,0.047462
400,0.127382,0.021939
600,0.194345,0.018681
800,0.288909,0.067950
1000,0.359050,0.085775
1200,0.437332,0.073992
1400,0.566719,0.197741
1600,0.630832,0.165295
1800,0.663817,0.087605
2000,0.803118,0.202613
2200,0.940797,0.390364
2400,1.000445,0.444588
2600,1.039858,0.990131
2800,1.123060,0.222672
3000,1.172200,0.215945
3200,1.309694,0.353890
3400,1.336241,0.239419
3600,1.414074,0.282311
3800,1.529765,0.290788
4000,1.621258,0.331943
4200,1.691374,0.313384
4400,1.779959,0.376614
4600,1.886206,0.378339
4800,2.015379,0.416234
5000,2.023559,0.350940
5200,2.128350,0.388369
5400,2.261499,0.501558
5600,2.402523,0.477694
5800,2.519408,0.511499
6000,2.618219,0.593818
6200,2.987524,0.731989
6400,2.766048,0.556280
6600,2.799370,0.534114
6800,2.909684,0.559104
7000,3.120383,0.661997
7200,3.174870,0.616997
7400,3.286595,0.645458
7600,3.314147,0.583086
7800,3.294001,0.825525
8000,3.430324,0.408440
8200,3.508723,0.397884
8400,3.584463,0.418231
8600,3.707389,0.491454
8800,3.718535,0.306362
9000,3.819898,0.350883
9200,3.870700,0.229671
9400,4.074501,0.434277
9600,4.263703,0.844796
9800,4.300685,0.795172
10000,4.435753,0.519997


DYNAMIC HEAP PRIORITY QUEUE DATA

Length,Mean,Std Dev
200,0.062199,0.014618
400,0.135206,0.020092
600,0.225594,0.037635
800,0.305325,0.043431
1000,0.386634,0.060959
1200,0.481645,0.070846
1400,0.558838,0.070700
1600,0.647395,0.075472
1800,0.736537,0.081462
2000,0.826365,0.095753
2200,0.918086,0.108551
2400,1.000485,0.112449
2600,1.073119,0.107975
2800,1.155213,0.109252
3000,1.237933,0.088319
3200,1.397193,0.232303
3400,1.471838,0.185597
3600,1.537503,0.159247
3800,1.663993,0.221080
4000,1.792087,0.274881
4200,1.834597,0.237425
4400,1.916829,0.218843
4600,2.002975,0.154925
4800,2.085535,0.171176
5000,2.179339,0.174643
5200,2.296197,0.261278
5400,2.388846,0.228388
5600,2.446590,0.152105
5800,2.540428,0.160707
6000,2.649461,0.177714
6200,2.739660,0.186763
6400,2.864254,0.174491
6600,2.951096,0.169385
6800,3.060075,0.197785
7000,3.160176,0.182582
7200,3.245876,0.204473
7400,3.358726,0.196315
7600,3.464446,0.225259
7800,3.663753,0.464285
8000,3.681486,0.304652
8200,3.786825,0.240315
8400,3.858831,0.221924
8600,4.018158,0.353580
8800,4.060674,0.232192
9000,4.154047,0.227335
9200,4.513908,1.605558
9400,4.659001,0.769829
9600,4.961236,1.022054
9800,5.024540,1.113626
10000,5.412098,2.110603


STL PRIORITY QUEUE DATA

Length,Mean,Std Dev
200,0.133355,0.012970
400,0.286865,0.021011
600,0.465768,0.052759
800,0.658525,0.112287
1000,0.853117,0.144022
1200,1.126610,0.425497
1400,1.233032,0.226011
1600,1.444464,0.154237
1800,1.692410,0.579315
2000,2.002864,1.202131
2200,1.943875,0.161736
2400,2.236183,0.693466
2600,2.508219,0.624120
2800,2.671333,0.786282
3000,2.714254,0.099502
3200,3.123369,1.845777
3400,3.127484,0.136704
3600,3.319457,0.146483
3800,3.513584,0.135128
4000,3.888096,0.989266
4200,4.156562,0.471675
4400,4.411587,0.566650
4600,4.801122,0.690661
4800,4.748646,0.513917
5000,4.989168,0.551774
5200,5.217053,0.569767
5400,5.442383,0.575764
5600,6.006414,0.996917
5800,6.090617,0.812786
6000,6.221023,0.706551
6200,6.534822,0.702979
6400,6.776353,0.774881
6600,6.954622,1.466057
6800,7.076787,1.093084
7000,7.337130,1.471454
7200,7.573650,1.416943
7400,7.748035,0.799069
7600,7.792220,0.582675
7800,7.870134,0.371671
8000,8.135880,0.579595
8200,8.241921,0.316324
8400,8.680271,0.324519
8600,8.715146,0.354948
8800,9.127328,0.716546
9000,9.390485,0.843564
9200,9.731565,2.091348
9400,9.811847,0.494290
9600,10.032269,0.746180
9800,10.250057,0.675086
10000,10.797444,2.037510


LINKED LIST PRIORITY QUEUE DATA

Length,Mean,Std Dev
200,0.088038,0.013423
400,0.296643,0.060178
600,0.622105,0.136111
800,1.112956,0.237944
1000,1.969055,0.502889
1200,2.913249,0.694235
1400,3.463382,0.613509
1600,4.685227,0.515301
1800,6.010972,0.715934
2000,7.422501,0.783331
2200,8.898830,0.796843
2400,10.856244,1.053780
2600,13.322588,1.497838
2800,15.585464,1.645045
3000,17.670336,1.738738
3200,22.180763,3.862310
3400,23.679926,3.175972
3600,27.886761,3.031650
3800,32.351109,4.244156
4000,35.489929,4.814358
4200,38.707020,5.214382
4400,43.156300,5.523883
4600,46.945454,5.777689
4800,50.274059,3.693539
5000,58.504276,8.423754
5200,62.316578,6.130829
5400,70.995049,9.881191
5600,75.665405,8.221882
5800,81.195541,8.555363
6000,86.518745,7.965724
6200,92.487885,9.869792
6400,103.305290,13.493752
6600,108.655334,9.764555
6800,121.269562,15.315346
7000,127.308662,13.335368
7200,133.090714,11.402102
7400,145.232330,18.897259
7600,158.664246,17.240339
7800,169.137115,14.772167
8000,180.742371,15.808087
8200,187.183594,18.060659
8400,192.576126,17.167326
8600,211.439148,21.725210
8800,228.311249,27.759325
9000,232.794144,23.368122
9200,250.598923,43.652634
9400,259.408997,26.923916
9600,272.452728,18.596132
9800,289.300934,26.400845
10000,300.899902,19.074404
